customer_id,first_name,last_name,email,created_at,country
1,John,Doe,john.doe@email.com,2023-01-15,USA
2,Jane,Smith,jane.smith@email.com,2023-02-20,Canada
3,Bob,Johnson,bob.j@email.com,2023-03-10,USA
4,Alice,Williams,alice.w@email.com,2023-04-05,UK
5,Charlie,Brown,charlie.b@email.com,2023-05-12,Germany
6,Diana,Miller,diana.m@email.com,2023-06-18,USA
7,Edward,Davis,edward.d@email.com,2023-07-22,Canada
8,Fiona,Garcia,fiona.g@email.com,2023-08-30,UK
9,George,Martinez,george.m@email.com,2023-09-14,USA
10,Helen,Anderson,helen.a@email.com,2023-10-25,France
